,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Hoods,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,Start_Year,Start_Date
1447,1211016-01-191,490061,Senor Sisig Corp,Senor Sisig,990 Valencia St,San Francisco,CA,94110,05/29/2014,,01/11/2019,,P O Box 883094,San Francisco,94188,CA,7220-7229,Food Services,False,False,H24 Pos01,Multiple,8.0,Mission,,POINT (-122.42117 37.75709),1211016-01-191-0490061-7220-7229-01-11-2019,52.0,3.0,5.0,20.0,52.0,2019,2019-01-11
1606,1251709-05-201,443840,Kang Hisun,Savvy Cleaners,35 Laguna St Bldg,San Francisco,CA,94102,11/10/2009,,05/07/2020,,35 Laguna St,San Francisco,94102,CA,,,False,False,Wm30,Multiple,8.0,Hayes Valley,,POINT (-122.42504 37.770798),1251709-05-201-0443840--05-07-2020,27.0,1.0,5.0,9.0,27.0,2020,2020-05-07
1710,1197056-08-181,478353,Bicycle Banh Mi Llc,Bicycle Banh Mi Inc.,1324 Fitzgerald Ave,San Francisco,CA,94124,04/11/2013,12/27/2021,04/01/2018,12/27/2021,,,,,7220-7229,Food Services,False,False,H74,Caterer,10.0,Bayview Hunters Point,,POINT (-122.39369 37.722363),1197056-08-181-0478353-7220-7229-04-01-2018,88.0,2.0,9.0,1.0,88.0,2018,2018-04-01
1763,1312328-08-221,1137994,Rgc7 Llc,Royal Ground Coffee,2342 Clement St,San Francisco,CA,94121,08/15/2022,,08/15/2022,,2342 Clement St,San Francisco,94121,CA,7220-7229,Food Services,False,False,H24,,1.0,Outer Richmond,,POINT (-122.48428 37.78208),1312328-08-221-1137994-7220-7229-08-15-2022,8.0,8.0,4.0,29.0,8.0,2022,2022-08-15
1811,1280663-06-211,1065701,Namu Stonepot Llc,Namu Stonepot Dba Sunset Squares Slice Shop,553 Divisadero St,San Francisco,CA,94117,02/17/2017,,06/14/2021,,59 9th St,San Francisco,94103,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Hayes Valley,,POINT (-122.43779 37.77454),1280663-06-211-1065701-7220-7229-06-14-2021,24.0,4.0,11.0,9.0,24.0,2021,2021-06-14
1840,1179021-02-181,1006146,Maay Rodolfo,Casa Mayah Restaurant,294 Turk St,San Francisco,CA,94102,11/17/2014,,02/13/2018,,294 Turk St,San Francisco,94102,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",6.0,Tenderloin,,POINT (-122.41389 37.782845),1179021-02-181-1006146-7220-7229-02-13-2018,20.0,5.0,10.0,36.0,20.0,2018,2018-02-13
1871,1187516-05-181,1087428,Equal Brow Llc,Edge Brows,5813 Geary Blvd,San Francisco,CA,94121,05/01/2018,12/06/2021,05/01/2018,12/06/2021,,,,,8100-8139,Certain Services,False,False,J01,Body Art Establishment,1.0,Outer Richmond,,POINT (-122.48171 37.780132),1187516-05-181-1087428-8100-8139-05-01-2018,8.0,8.0,4.0,29.0,8.0,2018,2018-05-01
1969,1244060-01-201,1009613,Seniores Pizza 2014 Inc,Seniore's Pizza,456 Haight St,San Francisco,CA,94117,02/24/2015,,01/01/2020,,456 Haight St,San Francisco,94117,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",5.0,Hayes Valley,,POINT (-122.429726 37.772224),1244060-01-201-1009613-7220-7229-01-01-2020,26.0,4.0,11.0,9.0,26.0,2020,2020-01-01
2008,1222657-05-191,1011160,Scharetg Brigitte,Butterfield Road Catering + Events,3200 California St,San Francisco,CA,94118,03/16/2015,,05/22/2019,,4820 California St,San Francisco,94118,CA,7220-7229,Food Services,False,False,H74,Caterer,2.0,Presidio Heights,,POINT (-122.44691 37.787273),1222657-05-191-1011160-7220-7229-05-22-2019,10.0,8.0,6.0,31.0,10.0,2019,2019-05-22
2051,1304893-05-221,477404,Guckenheimer Services Llc,Guckenheimer Services Llc,575 Florida St Fl 3 And,San Francisco,CA,94110,01/01/2013,,04/18/2022,,1017 Central Pkwy N Ste,San Antonio,78232,TX,7220-7229,Food Services,False,False,H85,Employee Cafeterias W/o Food Prep,9.0,Mission,,POINT (-122.41109 37.76206),1304893-05-221-0477404-7220-7229-04-18-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-04-18
2066,1274867-04-211,1123417,Nichol Rain Geonzon,Nichol Rain Geonzon,575 Haight St,San Francisco,CA,94117,01/28/2021,,01/28/2021,,2539 26th Ave,Oakland,94601,CA,,,False,False,J02,Body Art Practitioner,5.0,Hayes Valley,,POINT (-122.431625 37.77193),1274867-04-211-1123417--01-28-2021,26.0,4.0,11.0,9.0,26.0,2021,2021-01-28
2292,1214832-03-191,1025182,Een Ken K,Ken K Een,1388 Haight St 148,San Francisco,CA,94117,07/03/2008,,02/28/2019,,1388 Haight St 148 #,San Francisco,94117,CA,,,False,False,J02,Body Art Practitioner,5.0,Haight Ashbury,,POINT (-122.44509 37.77027),1214832-03-191-1025182--02-28-2019,25.0,7.0,11.0,3.0,25.0,2019,2019-02-28
2300,1223508-05-191,1025319,Palmer Susan,Palmer Susan,2534 26th Ave,San Francisco,CA,94116,08/12/1985,,05/29/2019,,2534 26th Ave,San Francisco,94116,CA,,,False,False,H68,General Massage Practitioner,4.0,Sunset/Parkside,,POINT (-122.48298 37.74018),1223508-05-191-1025319--05-29-2019,40.0,10.0,7.0,35.0,40.0,2019,2019-05-29
2359,1206233-11-181,347331,Propark America West Llc,Propark America West Llc,111 Mason St,San Francisco,CA,94102,08/01/2001,,11/12/2018,,Po Box 204,San Francisco,94104,CA,,,True,False,P48,Valet Parking - Fixed Location,6.0,Tenderloin,,POINT (-122.40938 37.78451),1206233-11-181-0347331--11-12-2018,20.0,5.0,10.0,36.0,20.0,2018,2018-11-12
2462,1200436-09-181,1026470,Mertens Lara M,Mertens Lara M,30 Sycamore St Apt 15,San Francisco,CA,94110,03/09/2015,,07/10/2018,,30 Sycamore St Apt 15,San Francisco,94110,CA,,,False,False,J02,Body Art Practitioner,9.0,Mission,,POINT (-122.42007 37.762703),1200436-09-181-1026470--07-10-2018,53.0,3.0,2.0,20.0,53.0,2018,2018-07-10
2513,1273096-03-211,1122774,D Sf Hotel Llc,D Sf Hotel Llc,2601 24th Street,San Francisco,CA,94110,01/10/2021,,01/10/2021,,8762 S Preston Trace Blvd S,Frisco,75033,TX,7210-7219,Accommodations,False,False,Hhh,,10.0,Mission,,POINT (-122.40544 37.75303),1273096-03-211-1122774-7210-7219-01-10-2021,54.0,3.0,9.0,20.0,54.0,2021,2021-01-10
2542,1235786-10-191,1107442,Missionaries Of Charity,Missionaries Of Charity,3255 Folsom St,San Francisco,CA,94110,06/06/2019,,06/06/2019,,3255 Folsom St,San Francisco,94110,CA,,,False,False,Hhh,,9.0,Bernal Heights,,POINT (-122.41342 37.74596),1235786-10-191-1107442--06-06-2019,83.0,9.0,2.0,2.0,83.0,2019,2019-06-06
2558,1228069-07-191,130584,Dari Eli,Daris Jewelry,866 Brannan St,San Francisco,CA,94103,10/01/1980,,06/10/2019,,888 Brannan St 1135 Ste,San Francisco,94103,CA,4200-4299,Wholesale Trade,False,False,D19 D39,Multiple,6.0,South of Market,,POINT (-122.40473 37.771885),1228069-07-191-0130584-4200-4299-06-10-2019,33.0,1.0,10.0,34.0,33.0,2019,2019-06-10
2591,1249248-03-201,1026754,Silverman Stefani Wandel,Silverman Stefani Wandel,236 Shipley St Unit 201,San Francisco,CA,94107,08/30/2004,,02/24/2020,,675 Tennessee St Apt 1,San Francisco,94107,CA,,,False,False,H68 J02,Multiple,6.0,South of Market,,POINT (-122.40366 37.779213),1249248-03-201-1026754--02-24-2020,32.0,1.0,10.0,34.0,32.0,2020,2020-02-24
2646,1239916-12-191,1109190,Daydream Cafe Llc,Daydream Bistro,1014 Clement St,San Francisco,CA,94118,12/05/2019,,12/05/2019,12/05/2019,1014 Clement St,San Francisco,94118,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",1.0,Inner Richmond,,POINT (-122.47001 37.78272),1239916-12-191-1109190-7220-7229-12-05-2019,5.0,8.0,4.0,11.0,5.0,2019,2019-12-05
2668,1217815-04-191,1027264,Wat Pui Chi,Pui Chi Wat,321 Turk St 4,San Francisco,CA,94102,05/21/2010,,04/03/2019,,321 Turk St 4 Apt,San Francisco,94102,CA,,,False,False,H68,General Massage Practitioner,6.0,Tenderloin,,POINT (-122.41445 37.782715),1217815-04-191-1027264--04-03-2019,20.0,5.0,10.0,36.0,20.0,2019,2019-04-03
2698,1215533-03-191,1027435,Zou Yu Li,Yu Li Zou,748 Jackson St 1,San Francisco,CA,94133,03/09/2012,,12/01/2018,,748 Jackson St 1 Apt,San Francisco,94133,CA,,,False,False,H68,General Massage Practitioner,3.0,Chinatown,,POINT (-122.4075 37.795944),1215533-03-191-1027435--12-01-2018,104.0,6.0,3.0,6.0,104.0,2018,2018-12-01
2711,1175022-01-181,368528,Executive Hotel Vintage Ct Llc,The San Francisco Sports Grill,648 Bush St,San Francisco,CA,94108,07/01/2003,,01/09/2018,,650 Bush St,San Francisco,94108,CA,7220-7229,Food Services,False,False,D02 D04 H26,Multiple,3.0,Nob Hill,,POINT (-122.40809 37.790276),1175022-01-181-0368528-7220-7229-01-09-2018,16.0,6.0,3.0,21.0,16.0,2018,2018-01-09
2732,1280851-06-211,1025877,Cen Min Hua,Cen Min Hua,500 Folsom St #413,San Francisco,CA,94105,05/08/2009,,03/31/2021,,500 Folsom St Apt #413,San Francisco,94105,CA,,,False,False,H68,General Massage Practitioner,6.0,Financial District/South Beach,,POINT (-122.394585 37.787254),1280851-06-211-1025877--03-31-2021,32.0,1.0,10.0,8.0,32.0,2021,2021-03-31
2733,1251199-04-201,1027659,Sherin Leslie,Sherin Leslie,Po Box 1240,Pleasanton,CA,94566,02/22/2013,,04/01/2019,,Po Box 1240,Pleasanton,94566,CA,,,False,False,H59,Certified/cross Connection Tester,,,,POINT (-121.87383 37.663883),1251199-04-201-1027659--04-01-2019,,,,,,2019,2019-04-01
2755,1274735-04-211,1027715,Kavanaugh Kevin Ii,Kavanaugh Kevin Ii,184 Mendell St,San Francisco,CA,94124,03/06/2013,,03/31/2021,,184 Mendell St,San Francisco,94124,CA,,,False,False,H59,Certified/cross Connection Tester,10.0,Bayview Hunters Point,,POINT (-122.38383 37.742573),1274735-04-211-1027715--03-31-2021,76.0,2.0,9.0,1.0,76.0,2021,2021-03-31
2774,1204355-10-181,1028049,Martinez-Perez Andrew,Breakfast Little,3224 22nd St.,San Francisco,CA,94110,03/03/2016,,10/31/2018,07/07/2022,4717 Mission St 5 Apt,San Francisco,94112,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",9.0,Mission,,POINT (-122.419304 37.75543),1204355-10-181-1028049-7220-7229-10-31-2018,53.0,3.0,2.0,20.0,53.0,2018,2018-10-31
2842,1195705-07-181,1031616,Sweet & Smile Massage Llc,Sweet & Smile Massage Llc,1443b Noriega St,San Francisco,CA,94122,04/28/2016,,07/20/2018,,1443b Noriega St,San Francisco,94122,CA,6100-6299,Private Education and Health Services,False,False,H67,Massage Establishment,4.0,Sunset/Parkside,,POINT (-122.479095 37.754097),1195705-07-181-1031616-6100-6299-07-20-2018,39.0,10.0,7.0,35.0,39.0,2018,2018-07-20
2855,1239204-11-191,1032650,Ds Bros Llc,Babylon Mediterranean,855 Bryant St,San Francisco,CA,94103,05/09/2016,03/09/2021,11/22/2019,03/09/2021,,,,,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",6.0,South of Market,,POINT (-122.40379 37.774994),1239204-11-191-1032650-7220-7229-11-22-2019,32.0,1.0,10.0,34.0,32.0,2019,2019-11-22
2906,1247570-02-201,1063049,Zee Cooks Inc,Zee Cooks / Creperie Saint Germain,1760 Cesar Chavez  J,San Francisco,CA,94124,10/01/2016,,02/27/2020,,548 Market St Pmb 32273,San Francisco,94104,CA,7220-7229,Food Services,False,False,H30,Catering Facility,10.0,Bayview Hunters Point,,POINT (-122.39452 37.749874),1247570-02-201-1063049-7220-7229-02-27-2020,54.0,2.0,9.0,1.0,54.0,2020,2020-02-27
2943,1220349-05-191,1067536,Lomo Libre Llc,Lomo Libre Llc,2101 Lombard Street,San Francisco,CA,94123,01/23/2017,,04/18/2019,,5 Tara Ln,Novato,94945,CA,7220-7229,Food Services,False,False,H79,Mobile Food Facility 5,2.0,Marina,,POINT (-122.436104 37.799763),1220349-05-191-1067536-7220-7229-04-18-2019,15.0,4.0,6.0,13.0,15.0,2019,2019-04-18
2946,1246607-02-201,1068279,Parkmerced Owner Llc,Parkmerced Owner Llc,350 Arballo Dr,San Francisco,CA,94132,10/01/2014,,02/19/2020,,345 Vidal Dr,San Francisco,94132,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,D26,Station Tanks - Above Ground,7.0,Lakeshore,,POINT (-122.483055 37.72036),1246607-02-201-1068279-5300-5399-02-19-2020,42.0,10.0,8.0,16.0,42.0,2020,2020-02-19
2974,1274007-04-211,1027121,Pan Shelly,Pah Shelly,705 Broadway  #7,San Francisco,CA,94133,08/03/2007,,03/30/2021,,705 Broadway #7,San Francisco,94133,CA,,,False,False,H68,General Massage Practitioner,3.0,Chinatown,,POINT (-122.40877 37.79758),1274007-04-211-1027121--03-30-2021,104.0,6.0,3.0,6.0,104.0,2021,2021-03-30
2982,1271601-03-211,1073065,Stevenjo Dizon,Bonito Poke,500 Marina Blvd,San Francisco,CA,94123,07/11/2017,,03/12/2021,,Po Box 411745,San Francisco,94103,CA,7220-7229,Food Services,False,False,H79,Mobile Food Facility 5,2.0,Marina,,POINT (-122.44232 37.805824),1271601-03-211-1073065-7220-7229-03-12-2021,17.0,4.0,6.0,13.0,17.0,2021,2021-03-12
3004,1273243-03-211,1122836,James Allen,Sniff Sf,1031 Dolores St,San Francisco,CA,94110,03/25/2021,,03/25/2021,,1031 Dolores St,San Francisco,94110,CA,,,False,False,C01,Commercial Dog Walker - Employee,8.0,Mission,,POINT (-122.42515 37.752922),1273243-03-211-1122836--03-25-2021,52.0,3.0,5.0,20.0,52.0,2021,2021-03-25
3037,1270743-03-211,1121854,Man Overboard Llc,Trade Routes,1750 Polk St,San Francisco,CA,94109,03/02/2021,,03/02/2021,,1720 Clay St 10 Apt,San Francisco,94109,CA,7220-7229,Food Services,False,False,H86,Bars/taverns W/o Food Prep,3.0,Russian Hill,,POINT (-122.42111 37.79283),1270743-03-211-1121854-7220-7229-03-02-2021,105.0,4.0,3.0,32.0,105.0,2021,2021-03-02
3045,1218993-04-191,1100836,Navjot Alisha Inc,Indian Spices And Groceries,3265 22 Nd St,San Francisco,CA,94110,04/17/2019,,04/17/2019,,3265 22nd St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H03,"Retail Mkts W/o Prep (Under 5,001)",9.0,Mission,,POINT (-122.42023 37.755314),1218993-04-191-1100836-7220-7229-04-17-2019,53.0,3.0,2.0,20.0,53.0,2019,2019-04-17
3068,1175400-01-181,1081996,Sf Portuguese Custard Tart Inc,Mr. Bread,1018 Taraval St,San Francisco,CA,94116,01/02/2018,,01/02/2018,,1018 Taraval St,San Francisco,94116,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",4.0,Sunset/Parkside,,POINT (-122.477036 37.74302),1175400-01-181-1081996-7220-7229-01-02-2018,40.0,10.0,7.0,35.0,40.0,2018,2018-01-02
3069,1176476-01-181,1082499,Manus Lux Tattoo Llc,Manus Lux Tattoo Llc,3402 Geary Blvd,San Francisco,CA,94118,01/11/2018,,01/11/2018,,3402 Geary Blvd,San Francisco,94118,CA,7100-7199,"Arts, Entertainment, and Recreation",False,False,J01,Body Art Establishment,2.0,Presidio Heights,,POINT (-122.45564 37.781517),1176476-01-181-1082499-7100-7199-01-11-2018,11.0,8.0,6.0,31.0,11.0,2018,2018-01-11
3074,1178918-02-181,1083570,Cesar Chavez Auto Service And Repair,Cesar Chavez Auto Service And Repair,3300 Cesar Chavez St Bldg,San Francisco,CA,94110,02/13/2018,,02/13/2018,,3300 Cesar Chavez Bldg,San Francisco,94110,CA,4400-4599,Retail Trade,False,False,D24,Vehicle Repair Garage - Minor,9.0,Mission,,POINT (-122.41596 37.74827),1178918-02-181-1083570-4400-4599-02-13-2018,53.0,3.0,2.0,20.0,53.0,2018,2018-02-13
3075,1179654-02-181,1083821,Farmay Inc.,Sf Hole In The Wall Pizza,1825 Irving St,San Francisco,CA,94122,02/16/2018,,02/20/2018,,1825 Irving St,San Francisco,94122,CA,7220-7229,Food Services,False,False,P54,Limited Live Performance,4.0,Sunset/Parkside,,POINT (-122.47748 37.76352),1179654-02-181-1083821-7220-7229-02-20-2018,39.0,10.0,7.0,35.0,39.0,2018,2018-02-20
3078,1179702-02-181,1083891,Karl Evan Boardman,Karl Evan Boardman,888 Isabella St,Oakland,CA,94607,01/08/2018,,01/08/2018,,648 16th Ave,San Francisco,94118,CA,,,False,False,J02,Body Art Practitioner,,,,POINT (-122.27731 37.81473),1179702-02-181-1083891--01-08-2018,,,,,,2018,2018-01-08
3079,1179762-02-181,1083925,North Beach Residences Llc,371 Columbus,371 Columbus Ave,San Francisco,CA,94133,02/21/2018,,02/21/2018,,1082 Folsom St,San Francisco,94103,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,Hhh,,3.0,Chinatown,,POINT (-122.40762 37.798492),1179762-02-181-1083925-5300-5399-02-21-2018,106.0,6.0,3.0,6.0,106.0,2018,2018-02-21
3084,1179591-02-181,1083852,"Rc Gas, Inc.",Rc Gas,376 Castro St,San Francisco,CA,94114,02/20/2018,08/31/2021,02/20/2018,08/31/2021,,,,,4400-4599,Retail Trade,False,False,D08 D13 D19,Multiple,8.0,Castro/Upper Market,,POINT (-122.43525 37.762993),1179591-02-181-1083852-4400-4599-02-20-2018,113.0,7.0,5.0,5.0,113.0,2018,2018-02-20
3091,1216832-03-191,1084181,Jose Luis Sanabria,Jose Luis Sanabria,4418 Masterson St,Oakland,CA,94619,02/22/2018,,03/23/2019,,4418 Masterson St,Oakland,94619,CA,7100-7199,"Arts, Entertainment, and Recreation",False,False,J02,Body Art Practitioner,,,,POINT (-122.19279 37.787037),1216832-03-191-1084181-7100-7199-03-23-2019,,,,,,2019,2019-03-23
3094,1180664-02-181,1084327,"Shin Osakaya, Inc",Osakaya Restaurant,1737 Post St Ste 370,San Francisco,CA,94115,02/28/2018,,02/28/2018,,1693 Alemany Blvd,San Francisco,94112,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Japantown,,POINT (-122.43039 37.78546),1180664-02-181-1084327-7220-7229-02-28-2018,101.0,4.0,11.0,15.0,101.0,2018,2018-02-28
3117,1273305-03-211,1122865,Joseph Jette,Joseph Jette,35325 Firecrest St B/c,Newark,CA,94560,04/01/2018,,04/01/2018,,35325 Firecrest St Ste B/c,Newark,94560,CA,,,False,False,H59,Certified/cross Connection Tester,,,,POINT (-122.05695 37.54414),1273305-03-211-1122865--04-01-2018,,,,,,2018,2018-04-01
3144,1194794-07-181,1085122,Monster Chef Corporation,Oma San Francisco Station,1737 Post St #337,San Francisco,CA,94115,03/19/2018,,07/11/2018,,3120 S Ridge Point Dr,Diamond Bar,91765,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",5.0,Japantown,,POINT (-122.43039 37.78546),1194794-07-181-1085122-7220-7229-07-11-2018,101.0,4.0,11.0,15.0,101.0,2018,2018-07-11
3150,1182725-03-181,1085270,Eat Sushi Inc,Eat Sushi,1516 Folsom St,San Francisco,CA,94103,03/21/2018,,03/21/2018,,1516 Folsom St,San Francisco,94103,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",6.0,Mission,,POINT (-122.414246 37.771706),1182725-03-181-1085270-7220-7229-03-21-2018,32.0,1.0,10.0,20.0,32.0,2018,2018-03-21
3155,1273295-03-211,1122861,Rodney Andrade,Rodney Andrade,3145 Geary Blvd #404,San Francisco,CA,94118,04/01/2019,,04/01/2019,,3145 Geary Blvd #404,San Francisco,94118,CA,,,False,False,H59,Certified/cross Connection Tester,1.0,Lone Mountain/USF,,POINT (-122.45259 37.7817),1273295-03-211-1122861--04-01-2019,12.0,8.0,4.0,18.0,12.0,2019,2019-04-01
3162,1184226-04-181,1085985,Hsi - Pu Anita Shih,Hsi - Pu Anita Shih,253 Corbett Ave,San Francisco,CA,94114,03/21/2018,,03/21/2018,03/21/2018,253 Corbett Ave,San Francisco,94114,CA,,,False,False,J02,Body Art Practitioner,8.0,Castro/Upper Market,,POINT (-122.44385 37.761307),1184226-04-181-1085985--03-21-2018,115.0,7.0,5.0,5.0,115.0,2018,2018-03-21
